"brood_year","Individuals_Released","Age2Sp","Age3Sp","Age4Sp","Age4Hat","InRiver4","Jun2","Jul2","Aug2","Sept2","Mar3","Apr3","May3","Jun3","Jul3","Aug3","Sept3","Oct3","May4","Jul4","Sept4","Age5.9","Age5.8","Age5.7","Age5.6","Age5.5","Age5.4","Age4.3","Age4.2","Age4.1","Age4.12","Age4.11","Age4.10","Age4.9","Age4.8","Age4.7","Age4.6","Age4.5","Age4.4","Age3.3","Age3.2","Age3.1","Age3.12","Age3.11","Age3.10","Age3.9","Age3.8","Age3.7","Age3.6","Age3.5","Age3.4","Age2.3","Age2.2","Age2.1","Age2.12","Age2.11","Age2.10","Age2.9","Age2.8","Age2.7","Age2.6","Age2.5","Age2.4","Out_Survival","Mat4","Mat3","Mat2","Imp4","Imp3"
1997,5016,0,0,3.16,0,0,0,0,0,0,0,0,5.04937988906637,3.43362704012896,2.2143609713941,0,0,0,0,0,3.31800103084399,3.31800103084399,3.38019664918907,3.44355811857077,3.50810729275751,3.57386643516454,3.64085822653274,6.92833967658184,7.05821075446398,7.19051625352891,7.32530180677355,7.46261390258104,7.60249990075493,7.74500804885384,7.89018749883235,10.2524492953879,13.8782575366529,19.1877840625107,19.5474572763964,19.9138725309662,20.2871562051407,20.6674370468019,21.0548462171983,21.4495173361841,21.8515865283049,22.2611924697483,22.6784764361739,23.1035823514404,23.5366568372457,23.9778492636978,24.4273118008331,25.8791310529008,27.4172381109237,29.0467614269771,30.7731342589014,32.6021127862077,34.5397953026885,36.5926425497283,38.7674992581082,41.0716169701326,43.512678218172,46.0988221402395,48.8386716180098,0.00973657727631775,0.464647239325125,0,0,0.547251120661434,0
1998,111745,0,22.9633398435865,4.62554852525598,1.01,0,4.12880844472598,0,0,0,0,3.91095933241864,0,0,18.110898082029,2.91731029035054,2.68171118696042,0,0,3.73800078632133,0,0,0,3.73800078632133,3.80806926071855,3.87945116210121,3.95217111053506,9.76744054175941,9.9505302992659,10.1370520571169,10.3270701478371,10.5206501098584,10.7178587101247,13.6004751540802,16.7727250764958,35.1980263180679,35.8578100224816,36.5299613105965,41.1256713440288,65.2903536956146,66.5142152563311,67.7610179872974,69.0311919185996,70.3251751411976,71.6434139580253,72.986363037923,74.3544855724562,75.7482534356726,81.2969557915807,82.8208596083748,84.3733288593875,89.3879954014064,94.700704949048,100.329171468427,106.292161742162,112.60955794275,119.302423924939,126.393075458141,133.905154633056,141.863708690598,150.295273535966,159.2279622163,168.691558656956,0.00150961169320288,0.587788206094224,0.35830385612228,0,0.671621349611573,0.0489349952235125
1999,61874,1.67390180878553,37.9966511059943,32.4036686944382,0,0,0,0,0,0,5.04429455715755,3.66663303169517,11.8618721028244,21.5721414772527,16.7386140650172,0,1.75549287493961,0,0,0,0,0,0,0,0,0,0,33.0110724270968,33.6298618857954,34.2602504949016,34.9024556794026,35.5566989398967,36.2232059289901,38.6576994040657,39.3823343562201,56.8591665876538,79.4971278134934,92.8491661263506,98.2562480748397,143.851241562897,146.547719603603,149.294742872457,152.093258835021,154.944232717014,157.848647837219,160.807505946637,163.821827573999,166.892652377749,170.021039504634,173.208067955006,176.454836954978,188.715688911711,199.931866629633,211.814669593848,224.403718183968,237.740987587635,251.870947756791,266.84071168216,282.700192480305,299.502269817041,317.302966222101,336.161633882934,356.141152540453,0.00575590963151652,1,0.278868569655647,0.00939714624603882,0.565813926757958,0.0285868874109956
2000,184684,0,42.5913138805502,4.39686379666097,0,0,0,9.86346169263784,0,0,0,3.8403886728882,0,3.49853162953082,11.938429861806,3.93386016176113,2.32940820487975,3.91991378993781,0,0,0,0,0,0,0,0,0,4.47928259643538,4.5632463288869,4.64878395363376,4.73592497313953,4.82469944288868,8.83505177169074,11.3300721939697,15.4763134971011,27.7048454049001,31.7227017649221,32.3173408363102,36.7635150342474,80.8423277453113,82.3577096019879,83.9014971495394,85.474222849979,87.0764291462704,88.7086686494197,90.3715043290747,92.0655097076963,103.654730751008,105.597728963945,107.577148496276,109.593672062221,116.107291092511,123.008042263493,130.318934488286,138.064344197781,146.270096618054,154.963551878434,164.17369623735,173.931238730109,184.268713560874,195.220588580224,206.823380210006,219.11577519865,0.00118643615688771,1,0.536719875311936,0,0.801352435787478,0.0900002847521883
2001,160707,0,24.4218989480606,4.75090319926475,0,0,0,0,0,0,3.83903314512859,5.12718309170561,3.93980694937752,0,3.70693922506624,0,0,0,2.04743669305932,0,1.90645166922375,1.90645166922375,1.94218792708206,1.97859405774456,2.01568261791418,4.10090309272739,4.17777413684535,9.09604455593938,9.26654905861795,9.44024965221878,9.61720624716664,9.79747987690163,9.98113271892994,10.1682281162693,10.3588305992964,14.2599451330699,14.5272464680826,18.7393652909449,24.2178160286911,53.390495020385,54.391294845543,55.4108545696241,56.4495258451753,57.5076669164377,58.5856427429072,59.6838251252111,60.8025928333446,61.9423317373112,63.1034349402111,64.2863029138254,65.4913436367415,69.3837733199931,73.5075466892606,77.8764134858148,82.5049406566531,87.4085609245186,92.603624244643,98.1074523197829,103.938396355316,110.115898246971,116.660555405203,123.594189432358,130.939918881617,0.000814774209472002,0.532094846797829,0.502097904145481,0,0.5274600009768,0.0586189400300354
2002,37898,0,54.3183973217705,36.4427280821966,1.03895116853506,0,6.3167790577758,19.1292918689218,5.96529877426812,7.21139680236946,0,3.95012949336178,12.7748035362872,21.8086328453812,26.271793686624,33.1035659991696,9.66871556585298,1.43107564303256,0,0,0,0,0,0,0,0,0,38.1842698153338,38.9000303742194,39.6292077976971,40.372053583636,41.1288239442094,43.3308555372964,53.8118039290319,87.9240671493651,115.843989234062,139.824106800212,155.21990011352,162.079612086598,220.454369812926,224.586766313087,228.796624198336,233.085395475078,237.454559367438,241.905622827464,253.651517857243,264.371490560375,288.456401241757,300.180268505369,305.807119504247,311.539445297725,330.055562345296,349.672171146622,370.454678617037,392.472379083629,415.79868533068,440.511373377138,466.692841802244,494.430386483996,523.816491666486,554.949138326608,587.932130868321,622.875443233734,0.0164355755774377,1,0.251011538739552,0,0.672562794088296,0.123973920754802
2003,210313,1.63268456375839,61.6251238144845,25.361708545078,0,1.00825126430663,0,13.3667594277691,0,0,0,5.51011071936299,3.60751699654164,3.32525868350098,29.4433702951083,6.62173824774403,11.0657893016469,0,0,0,0,0,0,0,0,0,0,26.8642622344994,27.3678303122447,27.8808377264107,28.4034614164738,28.9358816386245,29.4782820279386,41.096638963361,48.48872985671,78.8410168483988,83.6441430033857,88.8195616210177,95.9945866983949,160.57427721361,163.58422699023,166.650597993307,169.774447833442,172.95685394605,176.198913962968,179.501746091043,182.866489497803,199.661064132132,203.403692066149,207.216475210014,211.100728616558,225.377066617562,238.772186267149,252.963434968905,267.998130065584,283.926401171293,300.801357316764,318.679264028778,337.619730934186,357.685910514023,378.944708670434,401.46700780849,425.327903176704,0.00202235669300853,1,0.39097346146597,0.00767479137080594,0.620595247011996,0.0633193429286944
2004,421475,0,60.3474312008536,31.9521558843444,0,0,19.3067327340473,19.5053589451134,100.315389632482,0,0,0,0,5.28671745923801,15.8458562302399,0,0,0,0,0,0,0,0,0,0,0,0,32.5510960516956,33.1612632963484,33.7828680688146,34.416124764481,35.0612517975561,35.7184716764019,36.388011080279,37.0701009375295,53.6108327354656,59.9024802296797,61.0253466072532,62.1692610098341,124.813256123358,127.152868911326,129.536337521726,131.964484027838,134.43814591263,136.95817635761,139.525444537093,242.456225550466,266.506403719426,290.808774013007,296.259957225964,301.813322357339,319.751374464815,338.755561462883,358.889248292068,380.21956594138,402.817635280623,426.758804196019,452.122898819811,478.994489691504,507.463173738218,537.623873014322,569.577151196442,603.429548889122,0.00143170899552553,1,0.492564973082004,0,0.339919975663457,0.460971968450482
2005,16464,0,7.89360847628658,1.19685984909295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21929487478907,1.24215044293915,1.26543443657208,1.28915488648337,1.31331997400506,1.33793803382749,1.36301755687397,1.38856719322939,1.41459575512367,1.44111221997113,1.46812573346693,1.49564561274137,9.56525477692334,9.74455458121774,9.92721534353886,10.1133000647299,10.3028729265789,10.4959993139557,10.6927458373632,10.893180355912,11.0973720007253,11.3053911987829,11.5173096972116,11.7332005880314,12.4305547070997,13.16935555366,13.9520664833775,14.7812972596435,15.6598127552108,16.5905421710042,17.5765888028437,18.6212403886468,19.7279800706079,20.9004980089076,22.1427036856739,23.4587389402203,0.00142485051872086,1,0.840706663323859,0,0,0
2006,283749,0,5.95858541627786,5.4215960033521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52322331229839,5.62675561562591,5.73222862227578,5.8396787105499,5.94914294065801,6.06065906750001,6.17426555368786,6.29000158281159,6.40790707295395,6.52802269045838,6.65038986395516,6.77505079865032,12.9723270323229,13.2154920867185,13.4632152472683,13.7155819552448,13.9726792535094,14.2345958165336,14.5014219809837,14.7732497768782,15.0501729593299,15.3322870408821,15.6196893244521,15.9124789368908,16.858225380751,17.8601815666394,18.9216882790968,20.0462848597275,21.2377210082927,22.499969285192,23.8372383570209,25.2539870293684,26.7549391136438,28.3450991775017,30.0297692313822,31.8145664068039,0.000112122215080243,1,0.467940603587556,0,0,0
