"brood_year","Mat2Lower","Mat2Med","Mat2Upper","Mat3Lower","Mat3Med","Mat3Upper","Mat4Lower","Mat4Med","Mat4Upper","Mat2Mean","Mat3Mean","Mat4Mean","Source"
1997,0,0,0,0,0,0,0.178295029903991,0.464647239325125,0.812721322067782,0,0,0.505883668063428,"CWT"
1998,0,0,0,0.251739581219359,0.365949242915386,0.513891277905589,0.25513063013741,0.632214185749004,0.887830131069854,0,0.369603947249967,0.619865047155943,"CWT"
1999,0.00419728912154233,0.00565033868423892,0.0202678879910371,0.193248923723505,0.28234323900101,0.37881917431857,1,1,1,0.00790718804161721,0.282379756792867,1,"CWT"
2000,0,0,0,0.403381343589574,0.539782817909178,0.676113288988606,1,1,1,0,0.539134585402377,1,"CWT"
2001,0,0,0,0.346471068454895,0.511017639475604,0.679752278305017,0.285028531536916,0.549392112950567,0.759153385531797,0,0.51093567615692,0.543196202352942,"CWT"
2002,0,0,0,0.194865375769194,0.252676612587103,0.315494682479319,1,1,1,0,0.253175788385864,1,"CWT"
2003,0.00363924471691524,0.00470997798537356,0.0177561862546473,0.316506669181722,0.393967374135301,0.477549270888772,1,1,1,0.00675810118081169,0.3950605157694,1,"CWT"
2004,0,0,0,0.354358535718229,0.497424961682805,0.657997196153022,1,1,1,0,0.501961885655988,1,"CWT"
2005,0,0,0,0.445085671443859,0.801537179825819,0.956157900412887,1,1,1,0,0.756965974410432,1,"CWT"
2006,0,0,0,0.302924441728357,0.488396432738154,0.650012979785753,1,1,1,0,0.477363475552335,1,"CWT"
2007,0,0,0,0.470589351494977,0.779881258728292,0.897939906901758,0,0,0,0,0.751871314367321,0,"CWT"
