run_year,fishery,Location,Month,limit
1981,40,FB,2,20
1981,40,KC,2,20
1981,40,MO,2,20
1981,40,SF,2,20
1981,40,FB,3,20
1981,40,KC,3,20
1981,40,MO,3,20
1981,40,SF,3,20
1981,40,FB,4,20
1981,40,KC,4,20
1981,40,MO,4,20
1981,40,SF,4,20
1981,10,CO,5,26
1981,10,FB,5,26
1981,10,KC,5,26
1981,10,KO,5,26
1981,10,MO,5,26
1981,10,NO,5,26
1981,10,SF,5,26
1981,40,CO,5,22
1981,40,FB,5,20
1981,40,KC,5,20
1981,40,KO,5,22
1981,40,MO,5,20
1981,40,NO,5,22
1981,40,SF,5,20
1981,10,FB,6,26
1981,10,KC,6,26
1981,10,MO,6,26
1981,10,SF,6,26
1981,40,CO,6,22
1981,40,FB,6,20
1981,40,KC,6,20
1981,40,KO,6,22
1981,40,MO,6,20
1981,40,NO,6,22
1981,40,SF,6,20
1981,10,CO,7,26
1981,10,FB,7,26
1981,10,KC,7,26
1981,10,KO,7,26
1981,10,MO,7,26
1981,10,NO,7,26
1981,10,SF,7,26
1981,40,CO,7,22
1981,40,FB,7,20
1981,40,KC,7,20
1981,40,KO,7,22
1981,40,MO,7,20
1981,40,NO,7,22
1981,40,SF,7,20
1981,10,CO,8,26
1981,10,FB,8,26
1981,10,KC,8,26
1981,10,KO,8,26
1981,10,MO,8,26
1981,10,NO,8,26
1981,10,SF,8,26
1981,40,CO,8,22
1981,40,FB,8,20
1981,40,KC,8,20
1981,40,KO,8,22
1981,40,MO,8,20
1981,40,NO,8,22
1981,40,SF,8,20
1981,10,CO,9,26
1981,10,FB,9,26
1981,10,KC,9,26
1981,10,KO,9,26
1981,10,MO,9,26
1981,10,NO,9,26
1981,10,SF,9,26
1981,40,CO,9,22
1981,40,FB,9,20
1981,40,KC,9,20
1981,40,KO,9,22
1981,40,MO,9,20
1981,40,NO,9,22
1981,40,SF,9,20
1981,10,CO,10,26
1981,10,KO,10,26
1981,10,NO,10,26
1981,40,FB,10,20
1981,40,KC,10,20
1981,40,KO,10,22
1981,40,MO,10,20
1981,40,SF,10,20
1981,10,CO,11,26
1981,10,KO,11,26
1981,40,FB,11,20
1981,40,KC,11,20
1981,40,KO,11,22
1981,40,MO,11,20
1981,40,SF,11,20
1982,40,FB,2,20
1982,40,KC,2,20
1982,40,MO,2,20
1982,40,SF,2,20
1982,40,FB,3,20
1982,40,KC,3,20
1982,40,MO,3,20
1982,40,SF,3,20
1982,10,MO,4,26
1982,10,SF,4,26
1982,40,FB,4,20
1982,40,KC,4,20
1982,40,MO,4,20
1982,40,SF,4,20
1982,10,CO,5,26
1982,10,FB,5,26
1982,10,KC,5,26
1982,10,KO,5,26
1982,10,MO,5,26
1982,10,NO,5,26
1982,10,SF,5,26
1982,40,CO,5,0
1982,40,FB,5,20
1982,40,KC,5,20
1982,40,KO,5,0
1982,40,MO,5,20
1982,40,NO,5,0
1982,40,SF,5,20
1982,10,CO,6,26
1982,10,FB,6,26
1982,10,KC,6,26
1982,10,KO,6,26
1982,10,MO,6,26
1982,10,NO,6,26
1982,10,SF,6,26
1982,40,CO,6,0
1982,40,FB,6,20
1982,40,KC,6,20
1982,40,KO,6,0
1982,40,MO,6,20
1982,40,NO,6,0
1982,40,SF,6,20
1982,10,CO,7,26
1982,10,FB,7,26
1982,10,KC,7,26
1982,10,KO,7,26
1982,10,MO,7,26
1982,10,NO,7,26
1982,10,SF,7,26
1982,40,CO,7,0
1982,40,FB,7,20
1982,40,KC,7,20
1982,40,KO,7,0
1982,40,MO,7,20
1982,40,NO,7,0
1982,40,SF,7,20
1982,10,CO,8,26
1982,10,FB,8,26
1982,10,KC,8,26
1982,10,KO,8,26
1982,10,MO,8,26
1982,10,NO,8,26
1982,10,SF,8,26
1982,40,CO,8,0
1982,40,FB,8,20
1982,40,KC,8,20
1982,40,KO,8,0
1982,40,MO,8,20
1982,40,NO,8,0
1982,40,SF,8,20
1982,10,CO,9,26
1982,10,FB,9,26
1982,10,KC,9,26
1982,10,KO,9,26
1982,10,MO,9,26
1982,10,NO,9,26
1982,10,SF,9,26
1982,40,CO,9,0
1982,40,FB,9,20
1982,40,KC,9,20
1982,40,KO,9,0
1982,40,MO,9,20
1982,40,NO,9,0
1982,40,SF,9,20
1982,10,CO,10,26
1982,10,KO,10,26
1982,10,NO,10,26
1982,40,CO,10,0
1982,40,FB,10,20
1982,40,KC,10,20
1982,40,KO,10,0
1982,40,MO,10,20
1982,40,NO,10,0
1982,40,SF,10,20
1982,10,CO,11,26
1982,10,KO,11,26
1982,40,FB,11,20
1982,40,KC,11,20
1982,40,KO,11,0
1982,40,MO,11,20
1982,40,SF,11,20
1983,40,FB,2,20
1983,40,KC,2,20
1983,40,MO,2,20
1983,40,SF,2,20
1983,40,FB,3,20
1983,40,KC,3,20
1983,40,MO,3,20
1983,40,SF,3,20
1983,10,MO,4,26
1983,10,SF,4,26
1983,40,FB,4,20
1983,40,KC,4,20
1983,40,MO,4,20
1983,40,SF,4,20
1983,10,CO,5,26
1983,10,FB,5,26
1983,10,KC,5,26
1983,10,KO,5,26
1983,10,MO,5,26
1983,10,NO,5,26
1983,10,SF,5,26
1983,40,FB,5,20
1983,40,KC,5,20
1983,40,KO,5,0
1983,40,MO,5,20
1983,40,SF,5,20
1983,10,CO,6,26
1983,10,FB,6,26
1983,10,KC,6,26
1983,10,KO,6,26
1983,10,MO,6,26
1983,10,NO,6,26
1983,10,SF,6,26
1983,40,CO,6,0
1983,40,FB,6,20
1983,40,KC,6,20
1983,40,KO,6,0
1983,40,MO,6,20
1983,40,NO,6,0
1983,40,SF,6,20
1983,10,CO,7,26
1983,10,FB,7,26
1983,10,KC,7,26
1983,10,KO,7,26
1983,10,MO,7,26
1983,10,NO,7,26
1983,10,SF,7,26
1983,40,CO,7,0
1983,40,FB,7,20
1983,40,KC,7,20
1983,40,KO,7,0
1983,40,MO,7,20
1983,40,NO,7,0
1983,40,SF,7,20
1983,10,CO,8,26
1983,10,FB,8,26
1983,10,KC,8,26
1983,10,KO,8,26
1983,10,MO,8,26
1983,10,NO,8,26
1983,10,SF,8,26
1983,40,CO,8,0
1983,40,FB,8,20
1983,40,KC,8,20
1983,40,KO,8,0
1983,40,MO,8,20
1983,40,NO,8,0
1983,40,SF,8,20
1983,10,CO,9,26
1983,10,FB,9,26
1983,10,KO,9,26
1983,10,MO,9,26
1983,10,NO,9,26
1983,10,SF,9,26
1983,40,CO,9,0
1983,40,FB,9,20
1983,40,KC,9,20
1983,40,KO,9,0
1983,40,MO,9,20
1983,40,NO,9,0
1983,40,SF,9,20
1983,10,CO,10,26
1983,10,KO,10,26
1983,10,NO,10,26
1983,40,FB,10,20
1983,40,KC,10,20
1983,40,KO,10,0
1983,40,MO,10,20
1983,40,NO,10,0
1983,40,SF,10,20
1983,10,CO,11,26
1983,10,KO,11,26
1983,40,FB,11,20
1983,40,KC,11,20
1983,40,KO,11,0
1983,40,MO,11,20
1983,40,SF,11,20
1984,40,FB,2,20
1984,40,KC,2,20
1984,40,MO,2,20
1984,40,SF,2,20
1984,40,FB,3,20
1984,40,KC,3,20
1984,40,MO,3,20
1984,40,SF,3,20
1984,40,FB,4,20
1984,40,KC,4,20
1984,40,MO,4,20
1984,40,SF,4,20
1984,10,CO,5,26
1984,10,FB,5,26
1984,10,KC,5,26
1984,10,KO,5,26
1984,10,MO,5,26
1984,10,NO,5,26
1984,10,SF,5,26
1984,40,FB,5,20
1984,40,KC,5,20
1984,40,MO,5,20
1984,40,SF,5,20
1984,10,CO,6,26
1984,10,FB,6,26
1984,10,KC,6,26
1984,10,KO,6,26
1984,10,MO,6,26
1984,10,NO,6,26
1984,10,SF,6,26
1984,40,FB,6,20
1984,40,KC,6,20
1984,40,MO,6,20
1984,40,SF,6,20
1984,10,CO,7,26
1984,10,FB,7,26
1984,10,KC,7,26
1984,10,KO,7,26
1984,10,MO,7,26
1984,10,NO,7,26
1984,10,SF,7,26
1984,40,CO,7,20
1984,40,FB,7,20
1984,40,KC,7,20
1984,40,KO,7,20
1984,40,MO,7,20
1984,40,NO,7,20
1984,40,SF,7,20
1984,10,CO,8,26
1984,10,FB,8,26
1984,10,KC,8,26
1984,10,KO,8,26
1984,10,MO,8,26
1984,10,NO,8,26
1984,10,SF,8,26
1984,40,CO,8,20
1984,40,FB,8,20
1984,40,KC,8,20
1984,40,KO,8,20
1984,40,MO,8,20
1984,40,NO,8,20
1984,40,SF,8,20
1984,10,CO,9,26
1984,10,FB,9,26
1984,10,MO,9,26
1984,10,NO,9,26
1984,10,SF,9,26
1984,40,CO,9,20
1984,40,FB,9,20
1984,40,KC,9,20
1984,40,KO,9,20
1984,40,MO,9,20
1984,40,NO,9,20
1984,40,SF,9,20
1984,10,KO,10,26
1984,10,NO,10,26
1984,40,FB,10,20
1984,40,KC,10,20
1984,40,KO,10,20
1984,40,MO,10,20
1984,40,SF,10,20
1984,10,KO,11,26
1984,40,FB,11,20
1984,40,KC,11,20
1984,40,KO,11,20
1984,40,MO,11,20
1984,40,SF,11,20
1985,40,FB,2,20
1985,40,KC,2,20
1985,40,MO,2,20
1985,40,SF,2,20
1985,40,FB,3,20
1985,40,KC,3,20
1985,40,MO,3,20
1985,40,SF,3,20
1985,40,FB,4,20
1985,40,KC,4,20
1985,40,MO,4,20
1985,40,SF,4,20
1985,10,CO,5,26
1985,10,FB,5,26
1985,10,MO,5,26
1985,10,NO,5,26
1985,10,SF,5,26
1985,40,FB,5,20
1985,40,KC,5,20
1985,40,KO,5,0
1985,40,MO,5,20
1985,40,SF,5,20
1985,10,CO,6,26
1985,10,FB,6,26
1985,10,MO,6,26
1985,10,NO,6,26
1985,10,SF,6,26
1985,40,FB,6,20
1985,40,KC,6,20
1985,40,MO,6,20
1985,40,SF,6,20
1985,10,CO,7,26
1985,10,FB,7,26
1985,10,MO,7,26
1985,10,NO,7,26
1985,10,SF,7,26
1985,40,CO,7,0
1985,40,FB,7,20
1985,40,KC,7,20
1985,40,KO,7,0
1985,40,MO,7,20
1985,40,NO,7,0
1985,40,SF,7,20
1985,10,CO,8,26
1985,10,FB,8,26
1985,10,MO,8,26
1985,10,NO,8,26
1985,10,SF,8,26
1985,40,CO,8,0
1985,40,FB,8,20
1985,40,KC,8,20
1985,40,KO,8,0
1985,40,MO,8,20
1985,40,NO,8,0
1985,40,SF,8,20
1985,10,CO,9,26
1985,10,FB,9,26
1985,10,MO,9,26
1985,10,NO,9,26
1985,10,SF,9,26
1985,40,CO,9,0
1985,40,FB,9,20
1985,40,KC,9,20
1985,40,KO,9,0
1985,40,MO,9,20
1985,40,NO,9,0
1985,40,SF,9,20
1985,10,CO,10,26
1985,10,KO,10,26
1985,10,NO,10,26
1985,40,CO,10,0
1985,40,FB,10,20
1985,40,KC,10,20
1985,40,KO,10,0
1985,40,MO,10,20
1985,40,NO,10,0
1985,40,SF,10,20
1985,10,CO,11,26
1985,10,KO,11,26
1985,40,FB,11,20
1985,40,KC,11,20
1985,40,KO,11,0
1985,40,MO,11,20
1985,40,SF,11,20
1986,40,FB,2,20
1986,40,KC,2,20
1986,40,MO,2,20
1986,40,SF,2,20
1986,40,FB,3,20
1986,40,KC,3,20
1986,40,MO,3,20
1986,40,SF,3,20
1986,40,FB,4,20
1986,40,MO,4,20
1986,40,SF,4,20
1986,10,CO,5,26
1986,10,FB,5,26
1986,10,KO,5,26
1986,10,MO,5,26
1986,10,NO,5,26
1986,10,SF,5,26
