run_year,fishery,Location,Month,Release.mort.rate
1981,40,FB,2,0.14
1981,40,KC,2,0.14
1981,40,MO,2,0.14
1981,40,SF,2,0.14
1981,40,FB,3,0.14
1981,40,KC,3,0.14
1981,40,MO,3,0.14
1981,40,SF,3,0.14
1981,40,FB,4,0.14
1981,40,KC,4,0.14
1981,40,MO,4,0.14
1981,40,SF,4,0.14
1981,10,CO,5,0.26
1981,10,FB,5,0.26
1981,10,KC,5,0.26
1981,10,KO,5,0.26
1981,10,MO,5,0.26
1981,10,NO,5,0.26
1981,10,SF,5,0.26
1981,40,CO,5,0.14
1981,40,FB,5,0.14
1981,40,KC,5,0.14
1981,40,KO,5,0.14
1981,40,MO,5,0.14
1981,40,NO,5,0.14
1981,40,SF,5,0.14
1981,10,FB,6,0.26
1981,10,KC,6,0.26
1981,10,MO,6,0.26
1981,10,SF,6,0.26
1981,40,CO,6,0.14
1981,40,FB,6,0.14
1981,40,KC,6,0.14
1981,40,KO,6,0.14
1981,40,MO,6,0.14
1981,40,NO,6,0.14
1981,40,SF,6,0.14
1981,10,CO,7,0.26
1981,10,FB,7,0.26
1981,10,KC,7,0.26
1981,10,KO,7,0.26
1981,10,MO,7,0.26
1981,10,NO,7,0.26
1981,10,SF,7,0.26
1981,40,CO,7,0.14
1981,40,FB,7,0.14
1981,40,KC,7,0.14
1981,40,KO,7,0.14
1981,40,MO,7,0.14
1981,40,NO,7,0.14
1981,40,SF,7,0.14
1981,10,CO,8,0.26
1981,10,FB,8,0.26
1981,10,KC,8,0.26
1981,10,KO,8,0.26
1981,10,MO,8,0.26
1981,10,NO,8,0.26
1981,10,SF,8,0.26
1981,40,CO,8,0.14
1981,40,FB,8,0.14
1981,40,KC,8,0.14
1981,40,KO,8,0.14
1981,40,MO,8,0.14
1981,40,NO,8,0.14
1981,40,SF,8,0.14
1981,10,CO,9,0.26
1981,10,FB,9,0.26
1981,10,KC,9,0.26
1981,10,KO,9,0.26
1981,10,MO,9,0.26
1981,10,NO,9,0.26
1981,10,SF,9,0.26
1981,40,CO,9,0.14
1981,40,FB,9,0.14
1981,40,KC,9,0.14
1981,40,KO,9,0.14
1981,40,MO,9,0.14
1981,40,NO,9,0.14
1981,40,SF,9,0.14
1981,10,CO,10,0.26
1981,10,KO,10,0.26
1981,10,NO,10,0.26
1981,40,FB,10,0.14
1981,40,KC,10,0.14
1981,40,KO,10,0.14
1981,40,MO,10,0.14
1981,40,SF,10,0.14
1981,10,CO,11,0.26
1981,10,KO,11,0.26
1981,40,FB,11,0.14
1981,40,KC,11,0.14
1981,40,KO,11,0.14
1981,40,MO,11,0.14
1981,40,SF,11,0.14
1982,40,FB,2,0.14
1982,40,KC,2,0.14
1982,40,MO,2,0.14
1982,40,SF,2,0.14
1982,40,FB,3,0.14
1982,40,KC,3,0.14
1982,40,MO,3,0.14
1982,40,SF,3,0.14
1982,10,MO,4,0.26
1982,10,SF,4,0.26
1982,40,FB,4,0.14
1982,40,KC,4,0.14
1982,40,MO,4,0.14
1982,40,SF,4,0.14
1982,10,CO,5,0.26
1982,10,FB,5,0.26
1982,10,KC,5,0.26
1982,10,KO,5,0.26
1982,10,MO,5,0.26
1982,10,NO,5,0.26
1982,10,SF,5,0.26
1982,40,CO,5,0
1982,40,FB,5,0.14
1982,40,KC,5,0.14
1982,40,KO,5,0
1982,40,MO,5,0.14
1982,40,NO,5,0
1982,40,SF,5,0.14
1982,10,CO,6,0.26
1982,10,FB,6,0.26
1982,10,KC,6,0.26
1982,10,KO,6,0.26
1982,10,MO,6,0.26
1982,10,NO,6,0.26
1982,10,SF,6,0.26
1982,40,CO,6,0
1982,40,FB,6,0.14
1982,40,KC,6,0.14
1982,40,KO,6,0
1982,40,MO,6,0.14
1982,40,NO,6,0
1982,40,SF,6,0.14
1982,10,CO,7,0.26
1982,10,FB,7,0.26
1982,10,KC,7,0.26
1982,10,KO,7,0.26
1982,10,MO,7,0.26
1982,10,NO,7,0.26
1982,10,SF,7,0.26
1982,40,CO,7,0
1982,40,FB,7,0.14
1982,40,KC,7,0.14
1982,40,KO,7,0
1982,40,MO,7,0.14
1982,40,NO,7,0
1982,40,SF,7,0.14
1982,10,CO,8,0.26
1982,10,FB,8,0.26
1982,10,KC,8,0.26
1982,10,KO,8,0.26
1982,10,MO,8,0.26
1982,10,NO,8,0.26
1982,10,SF,8,0.26
1982,40,CO,8,0
1982,40,FB,8,0.14
1982,40,KC,8,0.14
1982,40,KO,8,0
1982,40,MO,8,0.14
1982,40,NO,8,0
1982,40,SF,8,0.14
1982,10,CO,9,0.26
1982,10,FB,9,0.26
1982,10,KC,9,0.26
1982,10,KO,9,0.26
1982,10,MO,9,0.26
1982,10,NO,9,0.26
1982,10,SF,9,0.26
1982,40,CO,9,0
1982,40,FB,9,0.14
1982,40,KC,9,0.14
1982,40,KO,9,0
1982,40,MO,9,0.14
1982,40,NO,9,0
1982,40,SF,9,0.14
1982,10,CO,10,0.26
1982,10,KO,10,0.26
1982,10,NO,10,0.26
1982,40,CO,10,0
1982,40,FB,10,0.14
1982,40,KC,10,0.14
1982,40,KO,10,0
1982,40,MO,10,0.14
1982,40,NO,10,0
1982,40,SF,10,0.14
1982,10,CO,11,0.26
1982,10,KO,11,0.26
1982,40,FB,11,0.14
1982,40,KC,11,0.14
1982,40,KO,11,0
1982,40,MO,11,0.14
1982,40,SF,11,0.14
1983,40,FB,2,0.14
1983,40,KC,2,0.14
1983,40,MO,2,0.14
1983,40,SF,2,0.14
1983,40,FB,3,0.14
1983,40,KC,3,0.14
1983,40,MO,3,0.14
1983,40,SF,3,0.14
1983,10,MO,4,0.26
1983,10,SF,4,0.26
1983,40,FB,4,0.14
1983,40,KC,4,0.14
1983,40,MO,4,0.14
1983,40,SF,4,0.14
1983,10,CO,5,0.26
1983,10,FB,5,0.26
1983,10,KC,5,0.26
1983,10,KO,5,0.26
1983,10,MO,5,0.26
1983,10,NO,5,0.26
1983,10,SF,5,0.26
1983,40,FB,5,0.14
1983,40,KC,5,0.14
1983,40,KO,5,0
1983,40,MO,5,0.14
1983,40,SF,5,0.14
1983,10,CO,6,0.26
1983,10,FB,6,0.26
1983,10,KC,6,0.26
1983,10,KO,6,0.26
1983,10,MO,6,0.26
1983,10,NO,6,0.26
1983,10,SF,6,0.26
1983,40,CO,6,0
1983,40,FB,6,0.14
1983,40,KC,6,0.14
1983,40,KO,6,0
1983,40,MO,6,0.14
1983,40,NO,6,0
1983,40,SF,6,0.14
1983,10,CO,7,0.26
1983,10,FB,7,0.26
1983,10,KC,7,0.26
1983,10,KO,7,0.26
1983,10,MO,7,0.26
1983,10,NO,7,0.26
1983,10,SF,7,0.26
1983,40,CO,7,0
1983,40,FB,7,0.14
1983,40,KC,7,0.14
1983,40,KO,7,0
1983,40,MO,7,0.14
1983,40,NO,7,0
